#FIELD: aquarius_u67203   PHOTOMETRY VERSION: phot-2.03
#REFERENCE POSITION (for DRA, DDEC):   311.720833  -12.847500 (J2000)
#ADOPTED GALAXY CENTER (for DRACEN, DDECCEN):   311.716248  -12.847500 (J2000)
#FLAG  f606w  E(f606w)  CROWD1  f814w  E(f814w)  CROWD2  CHIP  X  Y  DRA  DDEC  DRACEN  DDECCEN  RA(J2000)  DEC  
     0  20.754   0.008   0.007  18.686   0.005  -0.003   1  556.56  132.25  -28.557  -68.564    -12.049    -68.564  20:46:51.10  -12:51:59.6
     0  22.428   0.022   0.000  20.253   0.011   0.000   1  259.05  348.77  -41.171  -57.284    -24.664    -57.284  20:46:50.26  -12:51:48.3
     0  22.710   0.026   0.000  21.082   0.017   0.000   1  430.32   98.71  -28.197  -62.646    -11.690    -62.646  20:46:51.12  -12:51:53.6
     0  22.591   0.020   0.002  21.694   0.026   0.002   1  119.27  667.14  -56.936  -53.990    -40.429    -53.990  20:46:49.20  -12:51:45.0
     0  22.624   0.020   0.001  21.735   0.025   0.000   1  648.43  416.60  -40.653  -75.245    -24.145    -75.245  20:46:50.29  -12:52:06.2
     0  23.436   0.034   0.000  22.556   0.045   0.000   1  668.13  712.48  -53.912  -78.749    -37.405    -78.749  20:46:49.41  -12:52:09.7
     0  23.335   0.030   0.000  23.074   0.058   0.000   1  385.84  275.62  -36.652  -62.272    -20.145    -62.272  20:46:50.56  -12:51:53.3
     0  24.197   0.058   0.023  22.179   0.035   0.019   1  782.55  602.45  -47.853  -82.814    -31.345    -82.814  20:46:49.81  -12:52:13.8
   227  99.999   0.000   0.000  22.336   0.181   0.000   1  282.83  459.53  -46.010  -59.352    -29.503    -59.352  20:46:49.93  -12:51:50.4
     0  23.524   0.034   0.000  22.708   0.047   0.000   1  103.37  315.41  -41.094  -50.072    -24.587    -50.072  20:46:50.26  -12:51:41.1
   355  23.621   0.125   0.093  99.999   0.000   0.000   1  714.77  663.77  -51.269  -80.377    -34.762    -80.377  20:46:49.58  -12:52:11.4
     0  23.588   0.036   0.015  22.643   0.046   0.000   1  665.66  528.56  -45.594  -77.017    -29.087    -77.017  20:46:49.96  -12:52:08.0
   355  23.018   0.176   0.129  99.999   0.000   0.000   1  470.12  758.00  -57.832  -70.389    -41.325    -70.389  20:46:49.14  -12:52:01.4
   355  23.747   0.122   0.009  99.999   0.000   0.000   1  297.82  391.90  -42.782  -59.404    -26.275    -59.404  20:46:50.15  -12:51:50.4
   355  23.732   0.120   0.000  99.999   0.000   0.000   1  404.96  670.40  -54.480  -66.710    -37.973    -66.710  20:46:49.37  -12:51:57.7
   355  23.787   0.171  -0.002  99.999   0.000   0.000   1  422.53  559.04  -49.254  -66.487    -32.747    -66.487  20:46:49.72  -12:51:57.5
   161  99.999   0.000   0.000  22.472   0.104   0.000   1  600.04  520.93  -45.860  -74.042    -29.352    -74.042  20:46:49.94  -12:52:05.0
   227  99.999   0.000   0.000  22.273   0.190   0.000   1  447.11  511.05  -46.836  -67.148    -30.329    -67.148  20:46:49.88  -12:51:58.1
   227  99.999   0.000   0.000  22.158   0.160   0.013   1  421.97  565.68  -49.562  -66.522    -33.055    -66.522  20:46:49.70  -12:51:57.5
   163  99.999   0.000   0.000  22.572   0.101   0.001   1  669.01  310.25  -35.616  -75.187    -19.109    -75.187  20:46:50.63  -12:52:06.2
    64  23.841   0.043   0.000  22.604   0.123   0.000   1  444.74  521.23  -47.323  -67.134    -30.816    -67.134  20:46:49.85  -12:51:58.1
   355  23.371   0.157   0.010  99.999   0.000   0.000   1  330.46  341.98  -40.197  -60.405    -23.690    -60.405  20:46:50.32  -12:51:51.4
   355  23.739   0.157   0.000  99.999   0.000   0.000   1  502.96  562.54  -48.664  -70.102    -32.157    -70.102  20:46:49.76  -12:52:01.1
   355  23.523   0.162   0.000  99.999   0.000   0.000   1  545.68  354.49  -38.771  -70.116    -22.263    -70.116  20:46:50.42  -12:52:01.1
   227  99.999   0.000   0.000  22.580   0.198   0.032   1  445.95  652.63  -53.292  -68.375    -36.785    -68.375  20:46:49.45  -12:51:59.4
   355  23.863   0.186   0.005  99.999   0.000   0.000   1  109.43  207.44  -36.126  -49.374    -19.619    -49.374  20:46:50.59  -12:51:40.4
   355  23.689   0.142   0.005  99.999   0.000   0.000   1  271.76  767.36  -60.081  -61.666    -43.574    -61.666  20:46:48.99  -12:51:52.7
   355  23.737   0.124   0.000  99.999   0.000   0.000   1  691.16  626.36  -49.798  -79.010    -33.291    -79.010  20:46:49.68  -12:52:10.0
   355  23.666   0.139   0.000  99.999   0.000   0.000   1  423.66  731.94  -57.090  -68.094    -40.583    -68.094  20:46:49.19  -12:51:59.1
   355  23.334   0.125   0.000  99.999   0.000   0.000   1  119.24  522.22  -50.366  -52.655    -33.859    -52.655  20:46:49.64  -12:51:43.7
     0  23.813   0.041   0.000  22.915   0.053   0.005   1  115.19  291.43  -39.892  -50.379    -23.385    -50.379  20:46:50.34  -12:51:41.4
   355  23.896   0.168   0.000  99.999   0.000   0.000   1  622.56  777.95  -57.295  -77.309    -40.788    -77.309  20:46:49.18  -12:52:08.3
   355  23.628   0.188   0.018  99.999   0.000   0.000   1  653.36  575.36  -47.838  -76.891    -31.331    -76.891  20:46:49.81  -12:52:07.9
   355  23.891   0.188   0.000  99.999   0.000   0.000   1  253.86  718.61  -58.048  -60.427    -41.540    -60.427  20:46:49.13  -12:51:51.4
